,Arthaud,Poutou,Melenchon,Hamon,Macron,DupontAignan,LePen,Cheminade,Asselineau,Fillon,Lassalle
Arthaud,0.12200079603187973,-0.037604162887881334,-0.17670677066312634,0.0979902883269767,0.012250253409480877,-0.07232319324072886,0.09306487240720127,0.0014031932381728107,-0.007714810050370056,-0.0043907648125990325,-0.027969701759005837
Poutou,-0.037604162887881334,0.41868668756179284,1.4847356097031248,-1.003599234502555,-0.5025162053730104,0.10304923114876875,-0.5988202934284311,0.00017926465820426355,0.1073460653918134,-0.07445810452835544,0.10300114225652937
Melenchon,-0.17670677066312634,1.4847356097031248,9.443659033013608,-6.709919058986502,-2.208481367276658,0.9764111532123407,-3.8295549770440744,0.029638929050894477,0.7209051397314276,-0.4630650886236487,0.7323773978826179
Hamon,0.0979902883269767,-1.003599234502555,-6.709919058986502,5.626337879668059,1.2698961030744635,-1.0544937314532243,2.6818829956219865,-0.021211439013412037,-0.6126508119393574,0.3651618508364741,-0.6393948416329119
Macron,0.012250253409480877,-0.5025162053730104,-2.208481367276658,1.2698961030744635,1.317628712912217,0.02762162383050246,0.9329421503116754,-0.008240015998529407,-0.14942121226338914,-0.47881071792175367,-0.2128693247049987
DupontAignan,-0.07232319324072886,0.10304923114876875,0.9764111532123407,-1.0544937314532243,0.02762162383050246,0.6006100753694223,-0.3827093460166887,0.0037852743487581373,0.092106695141022,-0.4123385082477515,0.11828072590757929
LePen,0.09306487240720127,-0.5988202934284311,-3.8295549770440744,2.6818829956219865,0.9329421503116754,-0.3827093460166887,1.9710867343962333,-0.01691336465296657,-0.3667460970955425,-0.07096844528456006,-0.4132642292148353
Cheminade,0.0014031932381728107,0.00017926465820426355,0.029638929050894477,-0.021211439013412037,-0.008240015998529407,0.0037852743487581373,-0.01691336465296657,0.011153430567542203,0.0023133201771299928,-0.00460983318578266,0.002501240809988801
Asselineau,-0.007714810050370056,0.1073460653918134,0.7209051397314276,-0.6126508119393574,-0.14942121226338914,0.092106695141022,-0.3667460970955425,0.0023133201771299928,0.17701512254072135,-0.0720825038833357,0.10892909224988079
Fillon,-0.0043907648125990325,-0.07445810452835544,-0.4630650886236487,0.3651618508364741,-0.47881071792175367,-0.4123385082477515,-0.07096844528456006,-0.00460983318578266,-0.0720825038833357,1.2420045752517999,-0.026442459600487658
Lassalle,-0.027969701759005837,0.10300114225652937,0.7323773978826179,-0.6393948416329119,-0.2128693247049987,0.11828072590757929,-0.4132642292148353,0.002501240809988801,0.10892909224988079,-0.026442459600487658,0.25485095780564293
