,Arthaud,Poutou,Melenchon,Hamon,Macron,DupontAignan,LePen,Cheminade,Asselineau,Fillon,Lassalle
Arthaud,0.0,0.0755384866378,0.0787200926022,0.208061389834,0.74582387075,0.00389519255663,0.0422106721887,0.686495620966,0.57738569535,0.904765479173,0.0904200331781
Poutou,0.0755384866378,0.0,9.78936027021e-22,2.31951917851e-15,1.0532627326e-16,0.0275808239914,1.15540789828e-15,0.977802245343,1.29877622426e-05,0.272154319258,0.000598012896002
Melenchon,0.0787200926022,9.78936027021e-22,0.0,6.12117448862e-48,7.30890812946e-14,5.35866584492e-06,7.56932338144e-40,0.331707866191,9.62637057524e-11,0.149653663226,1.00262194728e-07
Hamon,0.208061389834,2.31951917851e-15,6.12117448862e-48,0.0,1.49265492544e-07,2.07107106461e-11,2.02884456367e-27,0.368263334756,2.97892889677e-13,0.140955443737,7.98223670553e-10
Macron,0.74582387075,1.0532627326e-16,7.30890812946e-14,1.49265492544e-07,0.0,0.74184420828,1.22839236246e-11,0.470425840514,0.000766616737131,3.77627441426e-05,5.38111766725e-05
DupontAignan,0.00389519255663,0.0275808239914,5.35866584492e-06,2.07107106461e-11,0.74184420828,0.0,0.000115872412676,0.62356528646,0.00222277248111,6.86004204953e-08,0.00102396354767
LePen,0.0422106721887,1.15540789828e-15,7.56932338144e-40,2.02884456367e-27,1.22839236246e-11,0.000115872412676,0.0,0.224796647493,1.34099574961e-13,0.630274080307,8.06001020471e-12
Cheminade,0.686495620966,0.977802245343,0.331707866191,0.368263334756,0.470425840514,0.62356528646,0.224796647493,0.0,0.580547194702,0.677710408104,0.618567633335
Asselineau,0.57738569535,1.29877622426e-05,9.62637057524e-11,2.97892889677e-13,0.000766616737131,0.00222277248111,1.34099574961e-13,0.580547194702,0.0,0.100933605783,4.63053166031e-09
Fillon,0.904765479173,0.272154319258,0.149653663226,0.140955443737,3.77627441426e-05,6.86004204953e-08,0.630274080307,0.677710408104,0.100933605783,0.0,0.61792893398
Lassalle,0.0904200331781,0.000598012896002,1.00262194728e-07,7.98223670553e-10,5.38111766725e-05,0.00102396354767,8.06001020471e-12,0.618567633335,4.63053166031e-09,0.61792893398,0.0
