DateDeb,DateFin,Institut,N,Arthaud,Poutou,Melenchon,Duflot,Jadot,Hamon,Hollande,Macron,Bayrou,Juppe,DupontAignan,Asselineau,LePen,Cheminade,date,Fillon2
02/12/2016,03/12/2016,Ifop-Fiducial,1401,1,1,13.5,,1.5,4,,16,9,,2,,24,0,########,28
03/01/2017,04/01/2017,Elabe,925,0.5,2,13,,1,6,,21,8,,1.5,,23,,########,24
03/01/2017,04/01/2017,Elabe,925,1.5,1.5,14.5,,1.5,6,,23,,,2,,24,,########,26
03/01/2017,06/01/2017,Ifop-Fiducial,1860,1,1,11.5,,2,6,,19,7,,1.5,,26,0.5,########,24.5
06/01/2017,08/01/2017,BVA,946,1,0.5,12.5,,2.5,6,,20,6,,1.5,,26,,########,24
10/01/2017,15/01/2017,Ipsos,15921,1,1,14,,2.5,7,,21,,,2.5,,26,0,########,25
20/01/2017,20/01/2017,Ipsos,992,1,1,13,,2,8,,20,,,2,,27,0,########,26
26/01/2017,27/01/2017,Sofres,702,0.5,0.5,10,,2,13,,20,5,,3,,25,0,########,21
26/01/2017,27/01/2017,Sofres,702,0.5,0.5,10,,2,15,,21,,,3.5,,25,0.5,########,22
30/01/2017,31/01/2017,Elabe,650,0.5,0.5,10,,1,16,,22,4,,1,,26,,########,19
30/01/2017,31/01/2017,Elabe,650,0.5,0.5,10,,1,17,,23,,,1,,27,,########,20
29/01/2017,01/02/2017,Ifop-Fiducial,1409,0,0.5,9,,1,18,,20,4.5,,2,,24,0,########,21
01/02/2017,02/02/2017,BVA,640,0.5,0.5,11,,1,16,,21,5,,2,,25,,########,18
01/02/2017,02/02/2017,BVA,640,0.5,0.5,11.5,,1.5,17,,22,,,2,,25,,########,20
02/02/2017,06/02/2017,Ifop-Fiducial,1433,0.5,1,10,,1,15.5,,20.5,5,,2.5,,25.5,0,########,18.5
07/02/2017,08/02/2017,Elabe,961,0.5,0.5,12,,1,15,,22,5,,1.5,,25.5,,########,17
07/02/2017,08/02/2017,Elabe,961,0.5,0.5,13,,1,15.5,,23.5,,,2,,26,,########,18
06/02/2017,08/02/2017,Harris Interactive,5432,0,1,12,,2,14,,21,5,,2,,24,,########,19
03/02/2017,09/02/2017,OpinionWay,1500,0,1,13,,1,16,,21,,,3,,25,,########,20
07/02/2017,09/02/2017,Ifop-Fiducial,1407,0.5,0,10.5,,1.5,15,,21,5.5,,2.5,,26,0,########,17.5
07/02/2017,12/02/2017,Ipsos,15874,0.5,0.5,12,,2,14.5,,23,,,3,,26,0,########,18.5
07/02/2017,12/02/2017,Ipsos,15874,0.5,0.5,11.5,,2,14,,20,6,,3,,25,0,########,17.5
10/02/2017,14/02/2017,Ifop-Fiducial,1402,0.5,0.5,11.5,,1.5,14.5,,19.5,5,,3,,25.5,0,########,18.5
10/02/2017,14/02/2017,DR,2066,1.4,0.6,12.7,,2.1,16.4,,21.3,4.9,,1.9,,22.1,,########,16.7
10/02/2017,14/02/2017,DR,2066,1.4,0.7,13.1,,2.3,17,,23,,,2.2,,22.6,,########,17.8
13/02/2017,17/02/2017,OpinionWay,1500,0,0,13,,2,16,,20,,,3,,26,,########,20
15/02/2017,17/02/2017,Ifop-Fiducial,1399,0.5,0.5,11.5,,2,14,,18.5,5.5,,3,,26,0,########,18.5
17/02/2017,20/02/2017,Ifop-Fiducial,1838,0.5,0.5,12,,2,15.5,,22,,,2,,25.5,0,########,20
18/02/2017,20/02/2017,Elabe,1051,1,1,12,,1,12,,17,6,,3,,27,,########,20
18/02/2017,20/02/2017,Elabe,1051,1,1,13,,1,13,,18.5,,,3.5,,28,,########,21
19/02/2017,20/02/2017,BVA,628,0.5,0.5,10.5,,2,17,,21,,,2,,27.5,,########,19
20/02/2017,22/02/2017,Ifop-Fiducial,1399,0.5,1,11,,1.5,14,,19,5.5,,2,,26.5,0,########,19
20/02/2017,22/02/2017,Harris Interactive,5249,1,1,13,,2,14,,20,,,3,,25,,########,21
20/02/2017,24/02/2017,OpinionWay,1500,0,0,11,,2,13,,24,,,3,,26,,########,21
22/02/2017,23/02/2017,Odoxa,920,0,1,12,,1,13,,25,,,2,,27,,########,19
23/02/2017,24/02/2017,Sofres,1005,1,0.5,10,,,14,,25,,,2.5,,27,,########,20
23/02/2017,27/02/2017,Ifop-Fiducial,1404,1,0.5,11.5,,,13.5,,24.5,,,2.5,,26,0.5,########,20
28/02/2017,02/03/2017,Ifop-Fiducial,1394,0.5,0.5,11,,,14.5,,24,,,2.5,,26,0,########,21
28/02/2017,02/03/2017,Elabe,1591,1,1,12.5,,,12.5,,24,,,3,,27,,########,19
