Sondeur,Date,"Arlette Laguiller
(LO)","Daniel Gluckstein
(PDT)","Olivier Besancenot
(LCR)","Robert Hue
(PCF)","Lionel Jospin
(PS)","Christiane Taubira
(PRG)","Noël Mamère
(LV)","Jean-Pierre Chevènement
(MDC)","Corinne Lepage
(Cap21)","François Bayrou
(UDF)","Christine Boutin
(FRS)","Jacques Chirac
(RPR)","Alain Madelin
(DL)","Charles Pasqua
(RPFIE)","Jean Saint-Josse
(CPNT)","Jean-Marie Le Pen
(FN)","Bruno Mégret
(MNR)"
Ifop,"February 1, 2002",7,0,0,4,22,0,6,11,1,3,1,24,4,3,0,10,2
BVA,"February 1, 2002",7,0,1,5,22,1,7,10,0.5,5,0.5,21,4,2,0,10,1
Ipsos,"February 2, 2002",6,0,0.5,6,23,0.5,6,12,1,4,1,23,5,3,0,8,1
Sofres,"February 2, 2002",6,0,1,6.5,22.5,0,6,11,0,4,0,24,5,1.5,0,11,1.5
Louis Harris,"February 2, 2002",6,0,1,5,23,0.5,5,13,1,5,0,23,5,2.5,0,9,1
Ifop,"February 8, 2002",7,0,1,5,19,0,7,13,1,3,1,24,4,3,2,7,1
Ipsos,"February 9, 2002",6,0,0.5,7,21,0.5,6,12,0.5,3,1,23,4,3,1.5,10,1
Ipsos,"February 12, 2002",6,0,0.5,6,23,0.5,5,11,1,3,1,27,3,2,2,8,1
CSA,"February 14, 2002",5.5,0,0.5,5,21.5,0.5,6,10,1,3,0.5,24.5,5,1.5,3.5,10,2
Sofres,"February 14, 2002",6,0,0.5,6,21.5,0,7,10,0.5,3,0.5,26,3,3,3,9,1
BVA,"February 15, 2002",7,0,0.5,5,23,0.5,6,10,1,4,0.5,24,3,1,2.5,11,1
Ipsos,"February 16, 2002",7,0,1,6,20,0.5,5,12,0.5,3,1,25,3,3,2,10,1
Ifop,"February 22, 2002",8,0,0,5,23,0,6,10,0,3,1,25,3,2,2,7,1
Ipsos,"February 23, 2002",7,0,0.5,6,22,0.5,6,11,0.5,3,0.5,25,3,1.5,3,9,1.5
Sofres,"February 23, 2002",7.5,0,0.5,6,22,0.5,5.5,10,0.5,3,1,24,4.5,1.5,2,11,0.5
Ifop,"February 23, 2002",7,0,0,5,22,0,6,12,1,3,0,23,4,3,3,7,1
Sofres,"February 28, 2002",7,0,1,5.5,22.5,0.5,6,10,0.5,3,1,24,3,2,2,11,1
CSA,"February 28, 2002",6,0,0.5,5.5,23.5,0.5,6,11,0.5,4,1.5,21,3,1.5,3.5,10,2
Ifop,"March 1, 2002",9,0,0.5,4,21,0.5,7,10,0.5,3,1,22,3,3,3,8,1
BVA,"March 1, 2002",8,0,0.5,6,24,0.5,5,8,1,4,1,21,4,2,2.5,11,1.5
Ipsos,"March 2, 2002",8,0,1,6,21,0.5,6,10,0.5,4,0.5,24,3,2.5,3,9,1
Sofres,"March 9, 2002",9,0,0.5,5.5,22,0.5,5,7.5,1,4,1,23,4,3,1.5,11,1.5
Ipsos,"March 9, 2002",8,0,0.5,6,22,0.5,6,11,0.5,3,1,24,3,3,2,8,1.5
Louis Harris,"March 9, 2002",8,0,1,5,23,0,5,10,1,3,1,24,3,2,2,10,2
CSA,"March 14, 2002",7,0.5,1,4.5,22,1,5.5,8.5,0.5,3,1,25.5,3,2.5,3,9.5,2
Sofres,"March 14, 2002",9.5,0,1,5.5,21,0.5,6,6.5,0.5,4.5,1,23.5,4,2.5,3,10,1
Sofres,"March 15, 2002",9,0,1,5.5,20,0.5,6,7,1,4,1,24,4,3,2,10,1
BVA,"March 15, 2002",9,0,1,6,22,0.5,5,7,2,3.5,0.5,25,3.5,3,1.5,10,0.5
Ipsos,"March 16, 2002",9,0,0.5,5.5,21,0.5,5.5,10,1,4,1,23,3,3,1.5,10,1.5
Ifop,"March 16, 2002",10,0.5,0.5,5,19,0.5,6,11,0.5,4,1,22,3,3,3,8,1
Ifop,"March 22, 2002",8,0.5,0.5,5,21,0,5,9,0.5,4,0.5,23,2.5,3,2,12,1
CSA,"March 22, 2002",8,0.5,1,5,21,0.5,6.5,7,0.5,4,1,23,4,2.5,3.5,11,1.5
BVA,"March 23, 2002",10,0,1,5.5,23,1,5.5,6.5,1,4,0.5,23,3.5,1,2.5,11,1
Ipsos,"March 23, 2002",10,0,0.5,5,22,0.5,5.5,9,0.5,5,1,24,2.5,2,2.5,9,1
Sofres,"March 23, 2002",10,0,1,6,21,0.5,5.5,7.5,1,4,1,23,4,1.5,3,10,1
Ifop,"March 24, 2002",10,0,1,6,19,1,7,10,1,4,1,20,3,3,2,10,0
Sofres,"March 28, 2002",10,0,1,6,20,0.5,6,8.5,0.5,4.5,0.5,21,4,2,4,11,0.5
CSA,"March 28, 2002",9,0.5,1,5,20,0.5,5,9,1,4.5,1.5,20,3.5,1.5,4.5,12,1.5
Ifop,"March 29, 2002",10,0,1,4.5,20.5,1,7,9,1,5.5,0.5,21,2,2,2.5,10,1
BVA,"March 30, 2002",11,0,0.5,6,20,0.5,6.5,6.5,0.5,5,1,20,4,2,2,13,1.5
Ipsos,"March 30, 2002",10,0,1,5,20,0.5,5,8,0.5,5,1,24,3,2,3.5,10,1.5
Louis Harris,"March 30, 2002",10,0,1,6,21,0.5,6,8,1,4.5,1.5,21,3.5,2,3,10,1
CSA,"April 4, 2002",8.5,0.5,1,4,18.5,0.5,8.5,8,1.5,4.5,1.5,22,3,0,5,11.5,1.5
Sofres,"April 4, 2002",9,0,0.5,6,19,1,5.5,7,1,4,1.5,24,4,0,4,12,1
BVA,"April 5, 2002",11,0,1,5,20,1,6.5,6,1.5,5,0.5,20,3.5,0,3.5,12,3
Ipsos,"April 6, 2002",11,0,1,5,19,0.5,5,8.5,1,5,0.5,23,3.5,0,3.5,12,1.5
Ifop,"April 6, 2002",8.5,0.5,1,5,17.5,1,8,8,1.5,5,1,21,3.5,0,4,13,1
CSA,"April 11, 2002",8,0.5,1.5,5.5,19,1,6.5,7,1.5,5.5,1,21,3.5,0,3.5,12,3
Sofres,"April 11, 2002",8,0.5,2.5,6,19,1.5,4.5,6,1.5,5,0.5,22,5,0,3,13,2
Ifop,"April 12, 2002",8,0.5,3.5,5.5,17,2,7,8,2,6.5,0.5,19,3.5,0,4.5,9.5,3
BVA,"April 12, 2002",9,0.5,2,5,18,1.5,6,6,1.5,6,1,18.5,5,0,4,14,2
Ifop,"April 13, 2002",7,0.5,4,5.5,16.5,1.5,6.5,8.5,2,6.5,0.5,20,3.5,0,4,10.5,3
Sofres,"April 14, 2002",8,0.5,2.5,6,18,1,5,6,1.5,6,1.5,20,5,0,3.5,13,2.5
Ipsos,"April 16, 2002",7,0.5,2.5,5.5,18,1.5,6.5,6,1,5,1,22,4,0,3.5,13,3
Louis Harris,"April 17, 2002",8,0,2,5,18,1,7,6,1,7,2,20,5,0,3,13,2
Ipsos,"April 18, 2002",7,0.5,4,5,18,1,6.5,6.5,1,6,1,20,4,0,3,14,2.5
Sofres,"April 18, 2002",6.5,0.5,4,6,18,1.5,6,6.5,1,6,1.5,19.5,5,0,4,12.5,1.5
CSA,"April 18, 2002",7,0.5,3,5,18,2.5,5,6.5,1.5,6,1.5,19.5,3.5,0,4,14,2.5
BVA,"April 18, 2002",8,0.5,3.5,5,18,2,5,6,1,6,1,19,5,0,4,14,2
